char_name,fb_name
ANAK 1,Eglis
Bayangan,Rapi
Nensy X,Gaurav
Grimmjow,Eglis
Zenobio,Rapi
Queensha,Gaurav
αηαктιяι∂єνѕ,Eglis
Grepek Anu,Rapi
GaluhAnnaris,Gaurav
ShinRegLia,Eglis
BlackFang,Eglis
Kakarawt,Eglis
αkαтςµkι ultimatu,Eglis
Last Protector,Eglis
BUNNY,Eglis
Iтαcнι dαмιαη,Eglis
Sнιяσкαgє,Eglis
Chikara,Eglis
Professor X JurDom,Eglis
Sαуgαη,Eglis
ιzχ L Λ I N,Eglis
Tama,Eglis
Izx Celestine,Eglis
AbdiHyde,Eglis
PeLipuTer No CounteR,Eglis
DjiWON 1959 ,Eglis
NBK | Acє,Eglis
Izx кιηg Jαѕн,Eglis
CiLOX YT,Eglis
™†•JØK€Я•†,Eglis
Yoji Noob,Eglis
RuH • Λgяαтα,Eglis
Izx ιηfєяηιту,Eglis
Dummy namikaze,Eglis
Ozone Demigod,Eglis
JØyBØy™,Eglis
•šhεεp•,Eglis
X I L O T A,Eglis
Jannzee,Eglis
Izx Ucнιнα Oвιтo™,Eglis
